NEIGHBORHOOD,Total ,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
ARMATAGE,2,0,0,0,0,2,0,0,0
AUDUBON PARK,6,0,0,0,0,1,5,0,0
BANCROFT,11,0,1,1,0,6,3,0,0
BELTRAMI,2,0,1,0,1,0,0,0,0
BOTTINEAU,16,0,1,3,1,3,8,0,0
BRYANT,9,0,0,0,0,5,2,2,0
BRYN - MAWR,7,0,0,0,0,2,5,0,0
CAMDEN INDUSTRIAL,2,0,0,0,0,0,1,1,0
CARAG,23,0,0,2,0,4,16,1,0
CEDAR - ISLES - DEAN,17,0,0,0,0,7,10,0,0
CEDAR RIVERSIDE,32,1,0,1,0,2,26,2,0
CENTRAL,36,0,1,7,1,8,13,5,1
CLEVELAND,8,0,0,1,0,3,4,0,0
COLUMBIA PARK,2,0,0,0,0,1,1,0,0
COMO,28,0,1,1,3,7,14,2,0
COOPER,6,0,1,0,0,4,0,0,1
CORCORAN,19,0,0,5,2,1,10,1,0
DIAMOND LAKE,5,0,0,0,0,1,3,0,1
DOWNTOWN EAST,8,0,0,0,0,1,7,0,0
DOWNTOWN WEST,173,0,5,8,11,0,146,3,0
EAST HARRIET,9,0,0,0,0,3,6,0,0
EAST ISLES,26,0,1,0,1,7,15,2,0
EAST PHILLIPS,24,0,0,8,1,6,7,2,0
ECCO,9,0,0,1,0,0,6,2,0
ELLIOT PARK,29,0,0,3,2,0,24,0,0
ERICSSON,4,0,0,0,0,2,1,1,0
FIELD,9,0,0,1,1,3,4,0,0
FOLWELL,41,1,0,2,8,12,12,3,3
FULTON,6,0,0,0,0,1,5,0,0
HALE,3,0,0,0,0,0,3,0,0
HARRISON,14,0,1,1,2,3,6,1,0
HAWTHORNE,24,0,2,0,3,8,9,1,1
HIAWATHA,9,0,1,0,2,3,3,0,0
HOLLAND,12,0,0,3,1,3,5,0,0
HOWE,16,0,1,1,3,3,6,2,0
HUMBOLDT INDUSTRIAL AREA,1,0,0,0,0,0,0,1,0
JORDAN,71,0,3,6,8,26,26,2,0
KEEWAYDIN,10,0,0,0,0,6,4,0,0
KENNY,2,0,1,0,0,1,0,0,0
KENWOOD,8,0,0,0,0,7,0,1,0
KING FIELD,14,0,1,2,0,2,9,0,0
LIND - BOHANON,18,0,1,1,2,5,4,4,1
LINDEN HILLS,12,0,0,0,2,2,7,1,0
LOGAN PARK,9,0,0,0,1,1,7,0,0
LONGFELLOW,66,0,0,3,3,5,54,1,0
LORING PARK,29,0,0,1,4,5,18,0,1
LOWRY HILL,17,0,0,0,1,8,4,4,0
LOWRY HILL EAST,43,0,0,8,1,5,28,1,0
LYNDALE,31,0,1,3,4,6,15,2,0
LYNNHURST,11,0,0,0,0,5,6,0,0
MARCY HOLMES,46,0,0,2,2,13,26,3,0
MARSHALL TERRACE,4,0,0,0,0,1,3,0,0
MCKINLEY,23,0,0,0,6,6,9,2,0
MID - CITY INDUSTRIAL,5,0,0,0,0,2,2,1,0
MIDTOWN PHILLIPS,29,0,2,7,2,1,16,1,0
MINNEHAHA,11,0,0,0,1,2,7,1,0
MORRIS PARK,11,0,0,0,0,1,10,0,0
NEAR - NORTH,53,0,1,7,4,11,27,3,0
NICOLLET ISLAND - EAST BANK,10,0,1,0,0,5,3,1,0
NORTH LOOP,34,0,0,3,2,4,24,0,1
NORTHEAST PARK,10,0,0,0,0,0,9,1,0
NORTHROP,3,0,0,0,1,1,1,0,0
PAGE,2,0,0,0,0,1,1,0,0
PHILLIPS WEST,25,0,1,5,1,2,14,2,0
POWDERHORN PARK,30,0,0,7,1,10,12,0,0
PROSPECT PARK - EAST RIVER ROAD,31,0,1,1,1,4,21,3,0
REGINA,6,0,0,0,0,2,4,0,0
SEWARD,27,0,0,2,1,6,17,1,0
SHERIDAN,9,0,0,0,0,2,7,0,0
SHINGLE CREEK,13,0,0,2,1,4,5,0,1
ST. ANTHONY EAST,2,0,0,0,0,0,2,0,0
ST. ANTHONY WEST,8,0,0,0,2,0,6,0,0
STANDISH,15,0,1,0,0,5,7,2,0
STEVENS SQUARE - LORING HEIGHTS,23,0,1,1,3,3,14,1,0
SUMNER - GLENWOOD,10,0,0,1,2,1,6,0,0
TANGLETOWN,16,0,0,1,0,5,10,0,0
UNIVERSITY OF MINNESOTA,8,0,0,0,0,1,7,0,0
VENTURA VILLAGE,36,0,0,11,4,4,13,4,0
VICTORY,11,0,0,0,1,1,7,2,0
WAITE PARK,12,0,0,1,0,4,6,1,0
WEBBER - CAMDEN,19,0,0,3,4,6,4,1,1
WENONAH,9,0,0,0,1,2,5,1,0
WEST CALHOUN,6,0,0,0,0,0,6,0,0
WHITTIER,75,0,1,2,7,3,55,6,1
WILLARD - HAY,40,0,2,2,7,14,12,3,0
WINDOM,11,0,0,1,3,1,5,1,0
WINDOM PARK,6,0,0,1,1,4,0,0,0
