NEIGHBORHOOD,Total ,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson,
ARMATAGE,5,0,0,0,0,2,3,0,0,
AUDUBON PARK,10,0,0,1,1,2,6,0,0,
BANCROFT,7,0,0,0,0,3,3,1,0,
BELTRAMI,4,0,0,0,1,1,1,1,0,
BOTTINEAU,6,0,0,1,1,0,3,1,0,
BRYANT,9,0,0,0,1,5,1,2,0,
BRYN - MAWR,20,0,0,0,0,2,3,0,0,
CARAG,25,0,0,4,0,4,14,3,0,
CEDAR - ISLES - DEAN,5,0,0,0,0,1,4,0,0,
CEDAR RIVERSIDE,11,0,0,2,3,1,5,0,0,
CENTRAL,35,0,0,4,3,14,10,4,0,
CLEVELAND,11,0,1,4,0,3,3,0,0,
COLUMBIA PARK,3,0,0,0,0,3,0,0,0,
COMO,9,0,0,1,0,1,6,1,0,
COOPER,7,0,0,0,0,1,5,1,0,
CORCORAN,16,0,0,3,0,2,11,0,0,
DIAMOND LAKE,6,0,0,0,0,5,1,0,0,
DOWNTOWN EAST,13,0,0,0,1,0,10,2,0,
DOWNTOWN WEST,200,0,0,12,6,3,179,0,0,
EAST HARRIET,7,0,0,1,0,1,4,0,1,
EAST ISLES,18,0,0,1,0,3,11,3,0,
EAST PHILLIPS,27,0,3,2,3,4,11,4,0,
ECCO,25,0,0,0,0,6,19,0,0,
ELLIOT PARK,40,0,0,2,3,2,30,3,0,
ERICSSON,6,0,0,0,1,2,3,0,0,
FIELD,7,0,0,0,0,3,1,3,0,
FOLWELL,33,0,0,7,4,13,3,4,2,
FULTON,9,0,0,0,0,3,6,0,0,
HALE,2,0,0,0,0,1,1,0,0,
HARRISON,18,0,0,2,2,2,8,4,0,
HAWTHORNE,35,0,1,5,4,15,6,4,0,
HIAWATHA,20,0,0,0,0,5,14,1,0,
HOLLAND,19,0,0,2,1,0,9,7,0,
HOWE,17,0,0,1,0,4,5,7,0,
JORDAN,58,1,1,7,13,15,13,7,1,
KEEWAYDIN,8,0,0,1,0,4,2,1,0,
KENNY,4,0,0,0,0,1,3,0,0,
KENWOOD,2,0,0,0,0,1,0,1,0,
KING FIELD,19,0,0,0,0,8,10,1,0,
LIND - BOHANON,19,0,1,0,1,3,12,2,0,
LINDEN HILLS,4,0,0,0,0,3,1,0,0,
LOGAN PARK,4,0,0,0,0,3,1,0,0,
LONGFELLOW,46,0,1,3,0,5,35,2,0,
LORING PARK,31,0,1,0,3,2,24,1,0,
LOWRY HILL,6,0,0,0,0,5,1,0,0,
LOWRY HILL EAST,66,0,0,5,1,3,53,4,0,
LYNDALE,26,0,0,2,0,8,11,5,0,
LYNNHURST,8,0,0,1,0,2,4,1,0,
MARCY HOLMES,32,0,0,1,1,5,20,5,0,
MARSHALL TERRACE,4,0,0,0,0,0,2,1,1,
MCKINLEY,23,0,0,3,4,11,2,3,0,
MID - CITY INDUSTRIAL,9,0,0,0,0,1,6,2,0,
MIDTOWN PHILLIPS,34,0,0,4,3,5,16,6,0,
MINNEHAHA,5,0,0,0,0,2,2,1,0,
MORRIS PARK,11,0,0,0,0,6,4,1,0,
NEAR - NORTH,42,0,1,4,5,7,19,6,0,
NICOLLET ISLAND - EAST BANK,7,0,0,0,0,0,5,2,0,
NORTH LOOP,44,0,0,2,1,4,35,2,0,
NORTHEAST PARK,8,0,0,0,0,3,5,0,0,
NORTHROP,6,0,0,1,0,2,3,0,0,
PAGE,2,0,0,0,0,2,0,0,0,
PHILLIPS WEST,13,0,0,1,0,0,11,1,0,
POWDERHORN PARK,28,0,1,2,3,3,16,3,0,
PROSPECT PARK - EAST RIVER ROAD,18,0,0,0,1,5,11,1,0,
REGINA,4,0,0,0,0,3,1,0,0,
SEWARD,19,0,0,1,2,7,8,1,0,
SHERIDAN,6,0,0,1,0,1,2,2,0,
SHINGLE CREEK,6,0,0,1,1,2,2,0,0,
ST. ANTHONY EAST,6,0,0,2,0,1,3,0,0,
ST. ANTHONY WEST,7,0,0,3,0,2,1,1,0,
STANDISH,19,0,0,1,0,1,13,4,0,
STEVENS SQUARE - LORING HEIGHTS,22,0,4,2,4,2,9,1,0,
SUMNER - GLENWOOD,5,0,0,2,0,0,1,2,0,
TANGLETOWN,6,0,0,0,0,2,4,0,0,
UNIVERSITY OF MINNESOTA,4,0,0,0,0,0,4,0,0,
VENTURA VILLAGE,27,0,1,3,2,5,14,2,0,
VICTORY,17,0,1,2,2,6,4,2,0,
WAITE PARK,9,0,0,0,1,3,2,3,0,
WEBBER - CAMDEN,19,0,1,1,3,8,3,3,0,
WENONAH,8,0,0,0,0,4,3,0,1,
WEST CALHOUN,3,0,0,0,0,3,0,0,0,
WHITTIER,49,0,0,5,1,5,31,7,0,
WILLARD - HAY,53,0,0,6,8,21,15,3,0,
WINDOM,19,0,0,0,1,5,12,1,0,
WINDOM PARK,17,0,2,1,1,5,6,2,0,
